代號,名稱,類型,籌碼類型,收盤價,漲跌%,外資今日(張),投信今日(張),自營今日(張),三大法人合計(張),外資連買天數,投信連買天數,外資5日累計(張),投信5日累計(張),自營5日累計(張),MA5,MA20,MA60,均線多頭,MA20翻揚,KD黃金交叉,MACD翻多,布林突破,爆量長紅,技術面標籤,大戶400張以上%,中實戶50~400張%,散戶50張以下%
3014,聯陽,強勢噴出,雙主力連買,132.5,1.53,430,9,430,869,6,6,934,54,934,131.1,130.9,136.0,否,否,是,否,否,否,KD黃金交叉,,,
2891,中信金,強勢噴出,雙主力連買,70.8,1.58,2219,9254,2219,13692,4,6,21397,18215,21397,68.6,66.41,66.33,是,是,否,否,是,否,均線多頭、布林突破,,,
5876,上海商銀,強勢噴出,雙主力連買,49.75,0.1,210,1043,210,1463,6,2,10788,2371,10788,49.2,45.93,44.41,是,是,否,否,否,否,均線多頭,,,
2887,台新新光金,強勢噴出,雙主力連買,44.4,2.3,7598,8184,7598,23380,1,6,10395,29820,10395,43.23,40.23,36.65,是,是,否,否,否,否,均線多頭,,,
2884,玉山金,強勢噴出,雙主力連買,46.45,1.75,6518,7852,6518,20888,1,6,-5460,25493,-5460,45.94,41.92,38.02,是,是,是,否,否,否,均線多頭、KD黃金交叉,,,
2303,聯電,強勢噴出,雙主力連買,142.0,2.53,6968,3910,6968,17846,1,6,-17015,31933,-17015,141.2,131.12,136.68,否,是,是,否,否,否,KD黃金交叉,,,
2353,宏碁,強勢噴出,雙主力連買,32.0,3.56,5967,1007,5967,12941,1,6,7242,1920,7242,31.38,31.43,31.13,否,是,否,否,否,是,爆量長紅,,,
2892,第一金,強勢噴出,雙主力連買,40.0,1.14,1700,5959,1700,9359,1,6,28429,29059,28429,39.26,36.31,34.73,是,是,否,否,否,否,均線多頭,,,
2603,長榮,強勢噴出,雙主力連買,239.0,2.36,1055,1741,1055,3851,1,6,-4880,9904,-4880,235.0,236.9,213.86,否,是,否,否,否,否,—,,,
1802,台玻,強勢噴出,雙主力連買,58.5,4.46,1384,21,1384,2789,1,6,-797,141,-797,58.02,59.07,58.82,否,是,否,否,否,否,—,,,
2027,大成鋼,強勢噴出,雙主力連買,46.55,3.44,2,1983,2,1987,2,5,92,6348,92,46.4,48.85,45.17,否,否,否,否,否,否,—,,,
3045,台灣大,強勢噴出,雙主力連買,124.5,0.4,2247,425,2247,4919,6,1,10960,342,10960,122.2,117.8,114.54,是,是,否,否,是,否,均線多頭、布林突破,,,
2393,億光,強勢噴出,雙主力連買,63.1,2.27,1115,23,1115,2253,1,6,332,136,332,,,,,,,,,,—,,,
3026,禾伸堂,強勢噴出,雙主力連買,772.0,6.34,125,256,125,506,1,6,-3364,1387,-3364,755.2,710.05,706.61,是,是,否,否,否,否,均線多頭,,,
3042,晶技,強勢噴出,雙主力連買,185.5,2.49,1725,6,1725,3456,4,2,1082,-114,1082,180.2,181.8,181.5,否,否,否,是,否,否,MACD翻多,,,
9945,潤泰新,強勢噴出,雙主力連買,28.05,0.36,244,558,244,1046,4,2,3490,584,3490,,,,,,,,,,—,,,
2832,台產,低位啟動,雙主力連買,58.1,1.04,70,4,70,144,4,2,327,20,327,,,,,,,,,,—,,,
8046,南電,趨勢持續,雙主力連買,1105.0,1.84,77,5,77,159,4,2,1143,123,1143,,,,,,,,,,—,,,
2377,微星,強勢噴出,雙主力連買,153.5,3.72,1081,953,1081,3115,4,1,-462,1034,-462,150.0,149.95,147.56,是,否,否,否,否,否,均線多頭,,,
3034,聯詠,強勢噴出,雙主力連買,548.0,1.29,603,343,603,1549,1,4,3544,529,3544,,,,,,,,,,—,,,
6672,騰輝電子-KY,強勢噴出,雙主力連買,304.0,4.47,495,9,495,999,3,2,535,96,535,296.1,284.15,265.72,是,是,是,是,否,否,均線多頭、KD黃金交叉、MACD翻多,,,
4919,新唐,趨勢持續,雙主力連買,116.0,4.5,250,10,250,510,3,2,418,77,418,,,,,,,,,,—,,,
2528,皇普,低位啟動,雙主力連買,19.55,0.26,45,11,45,101,3,2,154,51,154,19.68,20.12,20.82,否,否,否,否,否,否,—,,,
5269,祥碩,強勢噴出,雙主力連買,1475.0,7.66,555,3,555,1113,1,3,445,57,445,1377.0,1418.5,1429.92,否,否,否,否,否,是,爆量長紅,,,
6271,同欣電,強勢噴出,雙主力連買,228.0,3.17,206,210,206,622,3,1,-879,1259,-879,223.2,216.53,214.55,是,是,否,否,否,否,均線多頭,,,
6715,嘉基,強勢噴出,雙主力連買,393.0,9.93,193,87,193,473,3,1,31,26,31,350.9,358.55,385.47,否,否,否,否,否,是,爆量長紅,,,
6770,力積電,強勢噴出,雙主力連買,69.9,4.48,42640,423,42640,85703,1,2,-33166,443,-33166,70.34,70.26,69.32,是,否,否,否,否,否,均線多頭,,,
2481,強茂,強勢噴出,雙主力連買,168.5,9.77,9276,3761,9276,22313,1,2,15210,5023,15210,157.1,150.47,156.2,否,是,是,否,是,否,KD黃金交叉、布林突破,,,
2634,漢翔,強勢噴出,雙主力連買,65.0,4.84,1846,43,1846,3735,1,2,-3052,118,-3052,63.68,66.48,63.18,否,否,是,否,否,否,KD黃金交叉,,,
3714,富采,強勢噴出,雙主力連買,64.3,6.99,3812,18,3812,7642,1,2,4297,143,4297,61.92,61.98,58.99,否,是,否,否,否,是,爆量長紅,,,
8150,南茂,強勢噴出,雙主力連買,87.1,3.2,2600,6,2600,5206,1,2,-13267,80,-13267,87.14,89.11,93.97,否,否,否,否,否,否,—,,,
6451,訊芯-KY,強勢噴出,雙主力連買,421.0,6.85,704,2,704,1410,1,2,887,22,887,413.4,436.27,453.54,否,否,否,否,否,否,—,,,
3090,日電貿,強勢噴出,雙主力連買,163.5,2.83,420,7,420,847,1,2,672,34,672,164.0,167.72,197.36,否,否,否,否,否,否,—,,,
3380,明泰,強勢噴出,雙主力連買,30.2,2.2,387,5,387,779,1,2,394,38,394,30.22,29.01,30.08,否,是,否,否,否,否,—,,,
7799,禾榮科,強勢噴出,雙主力連買,457.0,9.99,340,14,340,694,1,2,252,44,252,426.0,384.57,386.81,否,是,否,否,是,是,布林突破、爆量長紅,,,
3023,信邦,趨勢持續,雙主力連買,320.5,0.63,126,20,126,272,1,2,64,317,64,321.9,322.8,315.76,否,是,否,否,否,否,—,,,
3013,晟銘電,低位啟動,雙主力連買,82.8,1.6,53,2,53,108,1,2,-254,15,-254,,,,,,,,,,—,,,
3030,德律,趨勢持續,雙主力連買,262.5,1.55,23,1,23,47,1,2,155,12,155,,,,,,,,,,—,,,
2387,精元,低位啟動,雙主力連買,36.35,0.69,9,5,9,23,1,2,-64,37,-64,36.32,36.5,37.81,否,是,否,否,否,否,—,,,
2477,美隆電,低位啟動,雙主力連買,21.8,0.23,7,3,7,17,1,2,16,16,16,21.88,21.42,21.48,否,是,否,否,否,否,—,,,
6781,AES-KY,趨勢持續,雙主力連買,1005.0,2.34,10,1,10,21,1,2,-168,8,-168,1004.0,1067.25,1072.52,否,否,否,否,否,否,—,,,
2409,友達,強勢噴出,雙主力連買,29.4,5.38,52472,4,52472,104948,1,1,-156622,-70,-156622,29.48,27.39,27.18,是,是,否,否,否,否,均線多頭,,,
3481,群創,強勢噴出,雙主力連買,48.7,4.06,20867,3,20867,41737,1,1,-34513,-113,-34513,48.04,47.97,52.78,否,否,否,否,否,否,—,,,
2344,華邦電,強勢噴出,雙主力連買,169.0,5.96,18474,177,18474,37125,1,1,-64656,-15787,-64656,167.9,176.68,172.9,否,否,否,否,否,否,—,,,
2883,凱基金,強勢噴出,雙主力連買,39.15,2.62,2108,11139,2108,15355,1,1,17137,14006,17137,38.23,35.04,31.79,是,是,是,否,否,否,均線多頭、KD黃金交叉,,,
2408,南亞科,強勢噴出,雙主力連買,492.5,5.8,6507,823,6507,13837,1,1,-24300,-4681,-24300,487.8,510.82,461.88,否,否,否,否,否,否,—,,,
5880,合庫金,強勢噴出,雙主力連買,27.35,1.3,1449,2791,1449,5689,1,1,20285,2693,20285,27.17,26.1,25.61,是,是,否,否,否,否,均線多頭,,,
2337,旺宏,強勢噴出,雙主力連買,119.0,3.93,4067,211,4067,8345,1,1,-9144,-1000,-9144,118.2,122.4,129.16,否,否,否,否,否,否,—,,,
3532,台勝科,強勢噴出,雙主力連買,440.0,8.11,1020,99,1020,2139,1,1,-922,1074,-922,419.2,394.0,380.57,是,是,是,否,否,否,均線多頭、KD黃金交叉,,,
3006,晶豪科,強勢噴出,雙主力連買,281.0,6.44,1766,32,1766,3564,1,1,-9005,61,-9005,283.6,280.2,244.15,是,是,否,否,否,否,均線多頭,,,
4958,臻鼎-KY,強勢噴出,雙主力連買,493.5,3.35,1779,299,1779,3857,1,1,-2236,692,-2236,490.0,481.05,507.45,否,是,是,否,否,否,KD黃金交叉,,,
3450,聯鈞,強勢噴出,雙主力連買,541.0,9.85,845,257,845,1947,1,1,-1771,-933,-1771,,,,,,,,,,—,,,
2885,元大金,強勢噴出,雙主力連買,69.4,1.61,735,183,735,1653,1,1,-9950,3661,-9950,,,,,,,,,,—,,,
5469,瀚宇博,強勢噴出,雙主力連買,74.7,4.48,101,825,101,1027,1,1,124,729,124,,,,,,,,,,—,,,
1216,統一,強勢噴出,雙主力連買,74.5,0.0,547,66,547,1160,1,1,-2999,-176,-2999,74.84,76.19,76.38,否,否,否,否,否,否,—,,,
4722,國精化,趨勢持續,雙主力連買,187.0,1.08,68,7,68,143,1,1,-172,-14,-172,,,,,,,,,,—,,,
6533,晶心科,趨勢持續,雙主力連買,229.0,2.0,67,10,67,144,1,1,-12,10,-12,,,,,,,,,,—,,,
2412,中華電,強勢噴出,外資連買,143.5,0.0,5858,-329,5858,11387,6,0,43393,-63,43393,141.9,138.2,138.36,否,是,否,否,是,否,布林突破,,,
2820,華票,強勢噴出,外資連買,17.3,0.29,900,0,900,1800,6,0,9346,0,9346,,,,,,,,,,—,,,
2880,華南金,強勢噴出,外資連買,47.35,0.96,2310,-1547,2310,3073,6,0,19771,-2113,19771,46.24,42.77,41.1,是,是,否,否,否,否,均線多頭,,,
6805,富世達,趨勢持續,外資連買,2045.0,0.99,297,-64,297,530,6,0,1429,-473,1429,,,,,,,,,,—,,,
2425,承啟,低位啟動,外資連買,36.2,1.69,228,0,228,456,6,0,519,0,519,,,,,,,,,,—,,,
5244,弘凱,趨勢持續,外資連買,34.8,2.5,90,0,90,180,6,0,286,0,286,,,,,,,,,,—,,,
8011,台通,低位啟動,外資連買,15.7,1.95,85,0,85,170,6,0,216,0,216,,,,,,,,,,—,,,
2480,敦陽科,趨勢持續,外資連買,160.0,0.63,44,-1,44,87,6,0,414,9,414,158.5,157.53,157.34,是,是,否,否,否,否,均線多頭,,,
3257,虹冠電,趨勢持續,外資連買,48.1,3.22,35,0,35,70,6,0,151,0,151,46.92,48.8,54.13,否,否,是,否,否,否,KD黃金交叉,,,
6698,旭暉應材,低位啟動,外資連買,31.9,1.43,31,0,31,62,6,0,147,0,147,31.52,31.75,34.9,否,是,是,否,否,否,KD黃金交叉,,,
1540,喬福,低位啟動,外資連買,19.35,1.31,29,0,29,58,6,0,88,0,88,,,,,,,,,,—,,,
5225,東科-KY,趨勢持續,外資連買,54.3,2.07,24,0,24,48,6,0,356,0,356,,,,,,,,,,—,,,
2472,立隆電,強勢噴出,外資連買,210.5,1.2,537,-514,537,560,6,0,3362,-2613,3362,,,,,,,,,,—,,,
2380,虹光,低位啟動,外資連買,16.8,0.0,19,0,19,38,6,0,43,0,43,16.92,18.25,18.56,否,否,否,否,否,否,—,,,
9919,康那香,低位啟動,外資連買,14.0,0.72,17,0,17,34,6,0,78,0,78,13.99,13.95,13.92,是,是,否,否,否,否,均線多頭,,,
2247,汎德永業,趨勢持續,外資連買,229.5,0.0,2,-2,2,2,6,0,23,-11,23,229.7,229.53,228.93,是,是,否,否,否,否,均線多頭,,,
6526,達發,趨勢持續,外資連買,629.0,0.96,218,-221,218,215,6,0,444,-223,444,629.6,620.05,617.52,是,是,否,否,否,否,均線多頭,,,
8464,億豐,趨勢持續,外資連買,374.0,2.19,3,-46,3,-40,6,0,311,12,311,,,,,,,,,,—,,,
2915,潤泰全,低位啟動,外資連買,56.6,0.53,276,-487,276,65,6,0,782,-494,782,56.74,57.81,54.5,否,否,否,否,否,否,—,,,
2395,研華,強勢噴出,外資連買,695.0,1.46,387,-149,387,625,5,0,2304,-72,2304,,,,,,,,,,—,,,
3002,歐格,低位啟動,外資連買,16.95,1.8,27,0,27,54,5,0,72,0,72,,,,,,,,,,—,,,
6776,展碁國際,低位啟動,外資連買,52.0,0.58,7,0,7,14,5,0,45,0,45,,,,,,,,,,—,,,
2615,萬海,強勢噴出,外資連買,115.0,2.68,3038,-77,3038,5999,4,0,-2121,-409,-2121,112.5,115.25,94.59,否,是,否,否,否,否,—,,,
6168,宏齊,強勢噴出,外資連買,32.15,9.91,2518,0,2518,5036,4,0,4101,0,4101,30.12,28.55,26.99,是,是,是,否,是,是,均線多頭、KD黃金交叉、布林突破、爆量長紅,,,
2484,希華,強勢噴出,外資連買,71.4,5.0,1265,0,1265,2530,4,0,2590,0,2590,68.4,72.3,74.36,否,否,否,否,否,是,爆量長紅,,,
2385,群光,強勢噴出,外資連買,105.5,0.0,1272,-641,1272,1903,4,0,1344,-431,1344,105.0,106.8,105.66,否,否,否,否,否,否,—,,,
4961,天鈺,強勢噴出,外資連買,181.0,1.4,524,0,524,1048,4,0,1505,0,1505,176.0,169.12,166.09,是,是,否,否,是,否,均線多頭、布林突破,,,
